"countopioid","abandon_cars","graffiti","pothole","street_cleaning","trash","abandon_cars.nn","pothole.nn","trash.nn","graffiti.nn","street_cleaning.nn","pctUnemploy","MedHHInc","pctPoverty","TotalPop","TotalUnit","NEIGH","Longitude","Latitude"
5,0,0,2,2,6,434.764930252311,340.433979910928,129.272615091362,473.816564299157,243.240376804635,3.89782716868469,36933,24.1499419472549,6029,2073,"Westwood",-84.5942125899123,39.1366262566541
31,1,0,4,3,20,345.761691732873,270.113938046962,144.151830157653,762.90657154895,159.821554172456,2.73609885260371,56205,17.2109443954104,2266,1224,"Westwood",-84.5946090260296,39.1444120875911
7,3,0,2,3,27,206.502416534953,306.303519139622,107.38987085804,604.400059332432,136.393154066771,1.06761565836299,46519,19.2170818505338,4215,2604,"Westwood",-84.5950056158098,39.1521979047512
4,0,0,0,0,4,697.639224829734,696.070792390579,244.966515173265,1126.21484818403,566.640436119718,1.06761565836299,46519,19.2170818505338,4215,2604,"Westwood",-84.5954023591819,39.1599837081516
12,8,0,10,5,47,136.300376960751,231.074096459366,65.2062484955487,813.800068258615,125.78584877543,1.70202269363592,40194,14.9728663048841,4054,1818,"West Price Hill",-84.5899413783402,39.1094647260756
3,1,1,8,0,4,310.829346373479,176.908890383502,244.61009414866,538.815824891101,394.709438625862,3.65799911855443,33285,37.5055090348171,2269,1065,"West Price Hill",-84.5903369612495,39.11725062987
2,1,0,0,0,1,440.272159185851,534.609380738304,300.396712251923,903.871080802511,420.144819732899,1.96822385582167,29559,19.2316812900166,4217,2749,"Westwood",-84.5907326974556,39.1250365200304
23,5,0,21,2,37,133.837979787419,154.416640380107,80.514310923005,726.930403563789,203.37033597812,3.89782716868469,36933,24.1499419472549,6029,2073,"Westwood",-84.5911285868979,39.1328223961831
10,1,0,24,2,7,276.018507511988,99.5801315029822,155.954960970205,837.697063255727,214.227454130296,3.89782716868469,36933,24.1499419472549,6029,2073,"Westwood",-84.5915246298655,39.1406082588118
18,3,0,22,3,31,255.60294289566,103.653585075582,90.6260433983377,800.159790951865,124.636715336241,2.73609885260371,56205,17.2109443954104,2266,1224,"Westwood",-84.591920826063,39.1483941073373
6,0,0,1,0,6,650.944873170264,513.851161882267,225.863149624085,981.478130473982,466.63403208962,1.06761565836299,46519,19.2170818505338,4215,2604,"Westwood",-84.5923171757529,39.1561799422521
0,0,0,0,0,0,1138.13270571877,1077.13036767924,686.676578593755,1617.93965859205,1003.66746661808,1.06761565836299,46519,19.2170818505338,4215,2604,"Westwood",-84.5927136788742,39.1639657633908
15,6,0,10,4,12,192.086178826436,134.154279530625,189.608073782909,2107.84540726209,167.969302327985,4.72602739726027,45568,30.4109589041096,1460,869,"Riverside",-84.585674243066,39.0823027835209
35,2,0,17,8,46,210.225266935094,156.42324341859,41.7646041096533,892.720635295757,190.870028562751,4.19862737182075,40579,24.9697214372224,4954,2397,"West Price Hill",-84.5868588962199,39.1056606720591
46,11,2,31,9,53,61.7318437093664,112.285674678158,40.9693116098646,445.428432571881,89.5478069807307,4.19862737182075,40579,24.9697214372224,4954,2397,"West Price Hill",-84.5872540864584,39.1134466074155
0,0,0,3,1,1,545.836715846514,294.825096878953,392.171435430947,549.020417830641,305.912562631438,3.67290367290367,49886,13.1670131670132,1443,592,"Westwood",-84.5876494296358,39.1212325287845
5,0,0,9,4,12,512.10905326226,214.704593284116,180.599651209093,1031.0941575268,199.363694767668,1.96822385582167,29559,19.2316812900166,4217,2749,"Westwood",-84.5880449262156,39.1290184365526
3,1,0,2,1,6,377.699980472816,300.829749269362,137.607692334348,852.72801425126,334.686023137287,3.89782716868469,36933,24.1499419472549,6029,2073,"Westwood",-84.5884405757593,39.1368043303807
7,5,0,0,6,10,155.322626087925,416.600937074903,145.581043406746,925.474154206192,99.4385583437225,8.6547656997131,30375,30.5546700669429,6274,3155,"Westwood",-84.5888363787717,39.1445902105693
15,2,0,32,1,24,396.16226093234,178.121300713547,124.95607613797,1028.01667646273,227.10901248862,1.06761565836299,46519,19.2170818505338,4215,2604,"Westwood",-84.589232334812,39.1523760768596
0,0,0,0,0,0,878.418468273643,791.183946458795,629.333661986838,1434.3521361678,896.173368664903,1.06761565836299,46519,19.2170818505338,4215,2604,"Westwood",-84.5896284442712,39.1601619294791
12,7,0,1,1,10,212.987306902582,431.011490697857,203.935771314478,1735.97732159511,243.195871426812,4.72602739726027,45568,30.4109589041096,1460,869,"Riverside",-84.5829876188356,39.0862845442628
43,7,0,10,10,71,167.43017335623,196.797030765159,39.7917274410055,746.098901644625,98.1803104584711,4.19862737182075,40579,24.9697214372224,4954,2397,"West Price Hill",-84.5841715531697,39.1096424856248
38,2,6,12,18,32,286.240768408429,142.230869815838,93.2603140133358,204.729654005769,79.6764865270764,4.19862737182075,40579,24.9697214372224,4954,2397,"West Price Hill",-84.5845665038824,39.1174284386015
